time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-04T20:25:15.570Z,36.1026667,-117.8445,3.63,1.08,ml,11,105,0.01708,0.14,ci,ci38932215,2019-11-04T20:59:55.880Z,"11km NE of Coso Junction, CA",earthquake,0.36,0.53,0.321,7,reviewed,ci,ci
2019-11-04T20:22:42.626Z,66.1288,-156.8386,2.9,2.1,ml,,,,0.36,ak,ak019e5pkden,2019-11-04T20:33:20.284Z,"86km S of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-11-04T20:08:44.910Z,18.0251,-66.4705,10,2.15,md,6,246,0.1369,0.16,pr,pr2019308012,2019-11-04T23:58:18.898Z,"1km SSW of Rio Canas Abajo, Puerto Rico",earthquake,0.67,0.93,0.47,6,reviewed,pr,pr
2019-11-04T19:41:04.820Z,35.6718333,-117.5165,4.71,0.81,ml,14,110,0.06561,0.13,ci,ci38932127,2019-11-04T20:59:56.880Z,"15km SW of Searles Valley, CA",earthquake,0.3,0.57,0.194,9,reviewed,ci,ci
2019-11-04T19:40:29.630Z,35.9201667,-117.713,6.64,0.33,ml,10,127,0.05787,0.07,ci,ci38932119,2019-11-04T19:44:16.244Z,"18km E of Little Lake, CA",earthquake,0.28,0.55,0.118,4,automatic,ci,ci
2019-11-04T19:25:40.070Z,35.6426667,-117.4461667,4.73,1.37,ml,28,84,0.05728,0.18,ci,ci38932103,2019-11-04T19:36:50.900Z,"14km SSW of Searles Valley, CA",earthquake,0.31,0.6,0.184,19,automatic,ci,ci
2019-11-04T19:10:40.650Z,35.7483333,-117.5393333,3.17,0.72,ml,11,177,0.08223,0.16,ci,ci38932071,2019-11-04T19:14:20.200Z,"12km W of Searles Valley, CA",earthquake,0.73,3.24,0.063,8,automatic,ci,ci
2019-11-04T19:04:32.755Z,59.7577,-152.1841,68.7,2.4,ml,,,,0.69,ak,ak019e5ov1zg,2019-11-04T19:17:47.182Z,"19km W of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-11-04T18:59:42.930Z,35.6835,-117.4193333,4.91,1.5,ml,25,74,0.1028,0.15,ci,ci38932047,2019-11-04T19:10:38.170Z,"9km S of Searles Valley, CA",earthquake,0.26,0.64,0.168,19,automatic,ci,ci
2019-11-04T18:44:37.611Z,59.8615,-152.3095,222.9,1.8,ml,,,,0.51,ak,ak019e5oi7e9,2019-11-04T19:34:30.204Z,"28km WNW of Anchor Point, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-11-04T18:33:32.130Z,36.0351667,-117.6495,-0.33,2.02,ml,25,66,0.08709,0.18,ci,ci38931999,2019-11-04T18:48:20.477Z,"26km ENE of Little Lake, CA",earthquake,0.25,31.61,0.115,25,automatic,ci,ci
2019-11-04T18:32:49.286Z,-22.1757,-176.5294,115.03,5.3,mww,,57,6.736,1.18,us,us7000630e,2019-11-04T20:34:50.276Z,"174km SW of Vaini, Tonga",earthquake,10.7,4.8,0.078,16,reviewed,us,us
2019-11-04T18:26:18.624Z,63.2227,-151.3251,4.6,1.4,ml,,,,0.7,ak,ak019e5oeb1k,2019-11-04T18:32:04.861Z,"117km NNW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-11-04T18:18:38.340Z,19.1646671,-155.451004,36.25,1.89,md,42,161,0.01397,0.08,hv,hv71216116,2019-11-04T18:21:39.880Z,"5km SE of Pahala, Hawaii",earthquake,0.55,0.72,0.02,10,automatic,hv,hv
2019-11-04T18:01:33.350Z,35.7993317,-117.6156693,7,0.93,ml,15,101,0.02204,0.16,ci,ci38931935,2019-11-04T18:05:09.248Z,"19km W of Searles Valley, CA",earthquake,0.4,0.72,0.251,6,automatic,ci,ci
2019-11-04T18:00:07.292Z,37.2331,-114.9235,0,0.9,ml,11,178.45,0.201,0.1965,nn,nn00709496,2019-11-05T02:07:31.161Z,"25km SE of Alamo, Nevada",earthquake,,0,0.22,7,reviewed,nn,nn
2019-11-04T17:58:50.740Z,46.0805,-122.503666666667,-1.19,0.88,ml,14,189,,0.21,uw,uw61558657,2019-11-04T18:28:29.310Z,"19km NNW of Amboy, Washington",explosion,0.8,31.61,0.163519621112395,8,reviewed,uw,uw
2019-11-04T17:55:02.400Z,62.2554,-148.3343,52.5,1.3,ml,,,,0.81,ak,ak019e5nz1w2,2019-11-04T17:59:35.739Z,"57km NNE of Sutton-Alpine, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-11-04T17:45:09.970Z,33.4655,-116.4233333,8.56,0.52,ml,14,81,0.05778,0.18,ci,ci38931903,2019-11-04T17:48:49.425Z,"24km N of Borrego Springs, CA",earthquake,0.38,1.03,0.069,11,automatic,ci,ci
2019-11-04T17:43:51.659Z,36.4605,-96.78333333,0,0.59,ml,12,183,0.02969417299,0.13,ok,ok2019vqgn,2019-11-04T19:51:24.064Z,"13km N of Pawnee, Oklahoma",quarry blast,,0.3,0.18,4,reviewed,ok,ok
2019-11-04T17:36:02.410Z,35.559,-117.294,3.85,0.94,ml,16,111,0.03075,0.16,ci,ci38931887,2019-11-04T17:39:46.087Z,"24km SSE of Trona, CA",earthquake,0.34,0.53,0.172,9,automatic,ci,ci
2019-11-04T17:18:09.150Z,46.8916667,-112.5235,12.27,0.89,ml,11,108,0.111,0.09,mb,mb80370719,2019-11-04T18:27:44.430Z,"13km ESE of Lincoln, Montana",earthquake,0.35,0.58,0.13,2,reviewed,mb,mb
2019-11-04T17:15:54.340Z,33.6055,-116.807,4.94,0.32,ml,19,76,0.04191,0.11,ci,ci38931831,2019-11-04T17:19:31.338Z,"14km WNW of Anza, CA",earthquake,0.31,0.5,0.126,9,automatic,ci,ci
2019-11-04T17:07:22.770Z,39.3525009,-123.2444992,4.99,1.54,md,11,130,0.06002,0.04,nc,nc73300680,2019-11-04T18:49:02.533Z,"10km NNW of Redwood Valley, CA",earthquake,0.42,1.45,0.08,8,automatic,nc,nc
2019-11-04T16:59:13.100Z,33.3636667,-116.3461667,14.08,0.54,ml,17,107,0.03063,0.22,ci,ci38931799,2019-11-04T17:02:55.862Z,"12km NNE of Borrego Springs, CA",earthquake,0.5,0.98,0.095,13,automatic,ci,ci
2019-11-04T16:58:06.558Z,39.4128,-119.8058,6.6,0.7,ml,14,78.33,0.039,0.2198,nn,nn00709528,2019-11-05T02:07:54.005Z,"12km S of Reno, Nevada",earthquake,,1.4,0.46,8,reviewed,nn,nn
2019-11-04T16:55:29.240Z,34.3321667,-116.848,-0.62,1.41,ml,30,67,0.02322,0.31,ci,ci38931791,2019-11-04T16:59:19.843Z,"8km N of Big Bear City, CA",earthquake,0.57,31.61,0.137,32,automatic,ci,ci
2019-11-04T16:48:52.740Z,35.9156667,-117.7308333,8.32,1.68,ml,26,38,0.07279,0.14,ci,ci38931775,2019-11-04T16:59:50.360Z,"16km E of Little Lake, CA",earthquake,0.21,0.54,0.195,25,automatic,ci,ci
2019-11-04T16:37:09.273Z,39.4232,-119.8242,10.6,0.2,ml,8,102.93,0.21,0.1557,nn,nn00709523,2019-11-05T02:07:49.909Z,"11km S of Reno, Nevada",earthquake,,5.5,0.47,5,reviewed,nn,nn
2019-11-04T16:25:24.632Z,-2.7959,127.835,20.33,4.7,mb,,86,3.574,0.75,us,us700062x1,2019-11-04T17:12:48.301Z,"49km NW of Piru, Indonesia",earthquake,6.3,3.6,0.098,32,reviewed,us,us
2019-11-04T16:23:32.850Z,18.5231,-66.192,22,2.24,md,6,247,0.4161,0.19,pr,pr2019308010,2019-11-04T18:49:24.865Z,"8km N of Levittown, Puerto Rico",earthquake,1.3,2.92,0.32,6,reviewed,pr,pr
2019-11-04T16:13:54.906Z,39.4142,-119.8063,6.3,1.2,ml,18,79.48,0.04,0.177,nn,nn00709492,2019-11-05T02:07:29.711Z,"12km S of Reno, Nevada",earthquake,,1.1,0.24,8,reviewed,nn,nn
2019-11-04T16:06:50.962Z,61.3437,-150.1228,35,1.4,ml,,,,0.35,ak,ak019e5n3802,2019-11-04T16:13:33.958Z,"18km NW of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
